type,from,to,Work at home,Study at home,"Drive a private car, truck or van","Drive a company car, truck or van","Passenger in a car, truck, van or company bus",Public bus,School bus,Train,Bicycle,Walk or jog,Ferry,Other,Total
Work,116600,116600,168,0,27,9,0,0,0,0,0,9,0,0,216
Work,116700,116700,168,0,12,6,0,0,0,0,0,0,0,0,189
Work,116800,116800,258,0,12,9,0,0,0,0,0,6,0,0,288
Work,116900,116900,168,0,9,0,0,0,0,0,0,0,0,0,189
Work,117000,117000,303,0,117,33,6,0,0,0,45,153,0,0,660
Work,117100,117100,105,0,6,0,0,0,0,0,0,0,0,0,114
Work,117200,117200,294,0,24,12,0,0,0,0,0,21,0,0,354
Work,117300,117300,21,0,12,0,0,0,0,0,0,18,0,0,57
Work,117400,117400,126,0,27,9,0,0,0,0,0,6,0,0,165
Work,117500,117500,183,0,9,0,0,0,0,0,0,0,0,0,201
Work,117600,117600,117,0,24,9,0,0,0,0,0,6,0,0,159
Work,117700,117700,156,0,15,12,0,0,0,0,0,6,0,0,195
Work,117800,117800,81,0,9,0,0,0,0,0,0,0,0,0,96
Work,117900,117900,234,0,12,9,0,0,0,0,0,9,0,0,267
Work,118000,118000,117,0,18,9,0,0,0,0,0,0,0,0,150
Work,118100,118100,171,0,18,0,0,0,0,0,0,6,0,0,204
Work,118200,118200,198,0,9,15,0,0,0,0,0,0,0,0,228
Work,118300,118300,138,0,36,12,0,0,0,0,0,24,0,0,216
Work,118400,118400,210,0,30,12,0,0,0,0,0,0,0,0,255
Work,118500,118500,210,0,21,12,0,0,0,0,0,6,0,0,249
Work,118600,118600,78,0,51,21,0,0,0,0,0,21,0,0,174
Work,118700,118700,162,0,12,0,0,0,0,0,0,0,0,0,183
Work,118900,118900,261,0,33,15,0,0,0,0,0,9,0,0,321
Work,119000,119000,216,0,12,9,0,0,0,0,0,0,0,0,240
Work,119100,119100,153,0,9,9,0,0,0,0,0,0,0,0,174
Work,119200,119200,69,0,0,0,0,0,0,0,0,0,0,0,84
Work,119300,119300,12,0,0,0,0,0,0,0,0,0,0,0,12
Work,119400,119400,153,0,9,9,0,0,0,0,0,0,0,0,171
Work,119500,119500,171,0,12,0,0,0,0,0,0,0,0,0,189
Work,119600,119600,63,0,12,0,0,0,0,0,0,0,0,0,81
Work,119700,119700,96,0,6,0,0,0,0,0,0,0,0,0,105
Work,119800,119800,141,0,12,0,0,0,0,0,0,9,0,0,171
Work,119900,119900,108,0,9,0,0,0,0,0,0,0,0,0,126
Work,120000,120000,180,0,0,6,0,0,0,0,0,0,0,0,192
Work,120100,120100,48,0,9,0,0,0,0,0,0,0,0,0,63
Work,120200,120200,204,0,24,12,0,0,0,0,0,15,0,0,258
Work,120300,120300,252,0,18,12,0,0,0,0,0,6,0,0,294
Work,120400,120400,141,0,0,6,0,0,0,0,0,0,0,0,156
Work,120500,120500,207,0,18,0,0,0,0,0,0,12,0,0,240
Work,120600,120600,111,0,6,6,0,0,0,0,0,0,0,0,126
Work,120700,120700,171,0,9,0,0,0,0,0,0,9,0,0,192
Work,120800,120800,195,0,9,0,0,0,0,0,0,9,0,0,219
Work,120900,120900,84,0,0,0,0,0,0,0,0,0,0,0,96
Work,121000,121000,126,0,9,6,0,0,0,0,0,0,0,0,150
Work,121100,121100,144,0,18,21,0,0,0,0,0,0,0,0,189
Work,121200,121200,66,0,6,6,0,0,0,0,0,9,0,0,90
Work,121300,121300,141,0,12,0,0,0,0,0,0,9,0,0,171
Work,121400,121400,78,0,9,6,0,0,0,0,0,0,0,0,96
Work,121500,121500,81,0,12,9,0,0,0,0,0,0,0,0,111
Work,121600,121600,126,0,21,0,0,0,0,0,0,6,0,0,159
Work,121700,121700,54,0,6,0,0,0,0,0,0,0,0,0,69
Work,121800,121800,162,0,9,0,0,0,0,0,0,9,0,0,186
